lat,lon,pressure,ASL_Sector_Pres,time
-68.25,279.75,979.8558349609375,988.1028442382812,2012-02-01
-66.75,233.25,977.341796875,982.948486328125,2012-03-01
-67.5,241.5,971.888671875,980.01025390625,2012-04-01
-75.0,195.0,974.9730224609375,983.6968994140625,2012-05-01
-64.5,293.25,975.7382202148438,989.3069458007812,2012-06-01
-72.0,237.75,970.213134765625,981.87158203125,2012-07-01
-66.0,255.75,971.1715698242188,982.475341796875,2012-08-01
-70.5,200.25,970.4869384765625,978.9136962890625,2012-09-01
-73.5,200.25,972.7073974609375,981.0086059570312,2012-10-01
-70.5,198.75,981.3719482421875,987.3128051757812,2012-11-01
-64.5,258.75,985.078857421875,989.468994140625,2013-01-01
-69.75,201.0,975.1961059570312,981.4134521484375,2013-02-01
-69.0,246.75,969.97314453125,978.4734497070312,2013-03-01
-69.75,264.75,969.0541381835938,980.2357788085938,2013-04-01
-66.0,213.75,971.583740234375,980.5142211914062,2013-05-01
-66.75,276.75,973.826904296875,985.1536254882812,2013-06-01
-73.5,209.25,974.9913940429688,981.00048828125,2013-07-01
-72.0,253.5,983.3849487304688,991.8784790039062,2013-08-01
-70.5,246.0,979.1571044921875,987.9061889648438,2013-09-01
-69.75,219.75,974.950439453125,980.12744140625,2013-10-01
-69.75,272.25,973.8311157226562,981.7244873046875,2013-11-01
-72.0,209.25,984.8599853515625,990.1787719726562,2013-12-01
-72.75,202.5,985.1437377929688,989.834716796875,2014-01-01
-73.5,204.75,979.003173828125,985.921142578125,2014-02-01
-71.25,264.0,978.1576538085938,985.3274536132812,2014-03-01
-72.75,240.0,972.2980346679688,984.30078125,2014-04-01
-69.0,244.5,975.5687255859375,980.0894775390625,2014-05-01
-70.5,242.25,975.21728515625,984.6963500976562,2014-06-01
-74.25,216.0,977.4801025390625,985.8374633789062,2014-07-01
-74.25,198.0,966.3663940429688,981.9085083007812,2014-08-01
-69.75,221.25,971.0968017578125,982.9139404296875,2014-09-01
-75.0,194.25,971.688232421875,979.0726318359375,2014-10-01
-66.75,273.0,975.8524780273438,983.8464965820312,2014-11-01
-70.5,230.25,976.3211669921875,984.0418090820312,2014-12-01
-68.25,250.5,978.0518188476562,984.6466064453125,2015-01-01
-73.5,209.25,974.628662109375,980.83935546875,2015-02-01
-71.25,273.0,977.5761108398438,984.683349609375,2015-03-01
-72.75,219.75,971.8167114257812,981.1000366210938,2015-04-01
-73.5,209.25,980.8651733398438,987.0737915039062,2015-05-01
-72.0,208.5,975.34716796875,983.1875610351562,2015-06-01
-75.0,206.25,972.4124145507812,981.75390625,2015-07-01
-71.25,276.0,972.58740234375,984.2083129882812,2015-08-01
-76.5,204.0,974.1275024414062,986.463623046875,2015-09-01
-66.75,208.5,967.6524047851562,977.447265625,2015-10-01
-71.25,204.0,969.7614135742188,976.9137573242188,2015-11-01
-72.75,254.25,980.9314575195312,989.1776733398438,2015-12-01
-70.5,189.0,975.3019409179688,983.8651123046875,2016-01-01
-70.5,228.75,972.9431762695312,980.2965698242188,2016-02-01
-71.25,228.0,968.8212280273438,978.218505859375,2016-03-01
-70.5,228.75,974.8262329101562,987.7747192382812,2016-05-01
-71.25,237.75,970.5462646484375,979.0296630859375,2016-06-01
-69.75,210.0,979.02294921875,987.2888793945312,2016-08-01
-72.0,234.0,958.9710083007812,973.9199829101562,2016-09-01
-76.5,205.5,976.2435302734375,983.1159057617188,2016-10-01
-68.25,270.0,978.8070068359375,988.065185546875,2016-11-01
-72.75,201.75,984.9857177734375,990.3756713867188,2016-12-01
-64.5,174.0,983.3679809570312,991.4819946289062,2017-01-01
-63.0,253.5,977.2076416015625,985.5353393554688,2017-02-01
-66.75,223.5,974.2630615234375,982.7669677734375,2017-03-01
-63.75,236.25,975.8892211914062,984.0406494140625,2017-04-01
-70.5,228.75,965.1383666992188,975.7781372070312,2017-05-01
-76.5,205.5,979.1275024414062,989.103515625,2017-06-01
-76.5,205.5,976.7418212890625,983.2762451171875,2017-07-01
